Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,222628,-,-,-,32.73,-117.18,-8,21,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Surface Albedo,Wind Speed,Pressure
2012,1,1,0,0,15.600000000000001,0,0,0,0.14,3.8000000000000003,1017
2012,1,1,0,30,15.5,0,0,0,0.14,3.9000000000000004,1017
2012,1,1,1,0,15.4,0,0,0,0.14,4,1017
2012,1,1,1,30,15.4,0,0,0,0.14,4,1017
2012,1,1,2,0,15.3,0,0,0,0.14,4.1000000000000005,1017
2012,1,1,2,30,15.200000000000001,0,0,0,0.14,4.1000000000000005,1017
2012,1,1,3,0,15.100000000000001,0,0,0,0.14,4.2,1017
2012,1,1,3,30,15.100000000000001,0,0,0,0.14,4.2,1017
2012,1,1,4,0,15,0,0,0,0.14,4.1000000000000005,1017
2012,1,1,4,30,14.9,0,0,0,0.14,4.1000000000000005,1017
2012,1,1,5,0,14.9,0,0,0,0.14,4.1000000000000005,1018
2012,1,1,5,30,14.8,0,0,0,0.14,4.1000000000000005,1018
2012,1,1,6,0,14.8,0,0,0,0.14,4,1018
2012,1,1,6,30,15.3,0,0,0,0.14,4.1000000000000005,1019
2012,1,1,7,0,15.8,11,14,140,0.14,4.1000000000000005,1019
2012,1,1,7,30,16.8,33,82,443,0.14,4.2,1019
2012,1,1,8,0,17.8,71,72,6,0.14,4.3,1020
2012,1,1,8,30,18.7,113,142,102,0.14,4,1020
2012,1,1,9,0,19.6,146,215,195,0.14,3.8000000000000003,1020
2012,1,1,9,30,20.6,73,423,836,0.14,3.6,1020
2012,1,1,10,0,21.5,66,494,907,0.14,3.4000000000000004,1019
2012,1,1,10,30,22.200000000000003,203,398,380,0.14,3.2,1019
2012,1,1,11,0,22.900000000000002,70,582,942,0.14,2.9000000000000004,1018
2012,1,1,11,30,23.3,71,602,949,0.14,2.7,1018
2012,1,1,12,0,23.8,233,437,363,0.14,2.6,1018
2012,1,1,12,30,24,230,423,350,0.14,2.4000000000000004,1017
2012,1,1,13,0,24.200000000000003,73,564,927,0.14,2.3000000000000003,1017
2012,1,1,13,30,24.1,70,520,909,0.14,2.3000000000000003,1017
2012,1,1,14,0,23.900000000000002,68,461,880,0.14,2.2,1017
2012,1,1,14,30,23.1,151,268,301,0.14,1.9000000000000001,1017
2012,1,1,15,0,22.200000000000003,119,211,288,0.14,1.6,1017
2012,1,1,15,30,22.200000000000003,50,218,700,0.14,1.6,1017
2012,1,1,16,0,19,38,127,573,0.14,1.4000000000000001,1018
2012,1,1,16,30,18.1,22,44,346,0.14,1.4000000000000001,1018
2012,1,1,17,0,17.3,0,0,0,0.14,1.4000000000000001,1018
2012,1,1,17,30,16.8,0,0,0,0.14,1.3,1019
2012,1,1,18,0,16.400000000000002,0,0,0,0.14,1.3,1019
2012,1,1,18,30,16.1,0,0,0,0.14,1.3,1019
2012,1,1,19,0,15.9,0,0,0,0.14,1.3,1019
2012,1,1,19,30,15.700000000000001,0,0,0,0.14,1.3,1019
2012,1,1,20,0,15.600000000000001,0,0,0,0.14,1.3,1019
2012,1,1,20,30,15.5,0,0,0,0.14,1.3,1020
2012,1,1,21,0,15.5,0,0,0,0.14,1.3,1020
2012,1,1,21,30,15.4,0,0,0,0.14,1.4000000000000001,1020
2012,1,1,22,0,15.4,0,0,0,0.14,1.4000000000000001,1020
2012,1,1,22,30,15.3,0,0,0,0.14,1.5,1019
2012,1,1,23,0,15.200000000000001,0,0,0,0.14,1.6,1019
2012,1,1,23,30,15.200000000000001,0,0,0,0.14,1.6,1019
2012,1,2,0,0,15.100000000000001,0,0,0,0.14,1.7000000000000002,1019
2012,1,2,0,30,15,0,0,0,0.14,1.7000000000000002,1019
2012,1,2,1,0,14.9,0,0,0,0.14,1.7000000000000002,1019
2012,1,2,1,30,14.700000000000001,0,0,0,0.14,1.7000000000000002,1019
2012,1,2,2,0,14.600000000000001,0,0,0,0.14,1.7000000000000002,1019
2012,1,2,2,30,14.5,0,0,0,0.14,1.8,1019
2012,1,2,3,0,14.4,0,0,0,0.14,1.8,1019
2012,1,2,3,30,14.4,0,0,0,0.14,1.9000000000000001,1019
2012,1,2,4,0,14.3,0,0,0,0.14,2,1019
2012,1,2,4,30,14.3,0,0,0,0.14,2.2,1019
2012,1,2,5,0,14.3,0,0,0,0.14,2.4000000000000004,1019
2012,1,2,5,30,14.4,0,0,0,0.14,2.6,1020
2012,1,2,6,0,14.5,0,0,0,0.14,2.8000000000000003,1020
2012,1,2,6,30,15.200000000000001,0,0,0,0.14,3,1020
2012,1,2,7,0,15.9,6,6,0,0.14,3.2,1020
2012,1,2,7,30,17.2,39,52,115,0.14,3.5,1021
2012,1,2,8,0,18.5,76,102,131,0.14,3.8000000000000003,1021
2012,1,2,8,30,19.3,58,265,736,0.14,3.7,1021
2012,1,2,9,0,20.200000000000003,65,351,806,0.14,3.6,1021
2012,1,2,9,30,21.1,70,428,853,0.14,3.3000000000000003,1021
2012,1,2,10,0,22,76,492,879,0.14,3,1021
2012,1,2,10,30,22.400000000000002,79,544,902,0.14,2.6,1020
2012,1,2,11,0,22.900000000000002,81,581,919,0.14,2.2,1019
2012,1,2,11,30,23,82,602,926,0.14,2.1,1019
2012,1,2,12,0,23.200000000000003,83,606,927,0.14,2,1018
2012,1,2,12,30,23.1,230,426,355,0.14,2.1,1018
2012,1,2,13,0,23,77,567,923,0.14,2.1,1018
2012,1,2,13,30,22.700000000000003,74,521,900,0.14,2.2,1018
2012,1,2,14,0,22.400000000000002,72,462,869,0.14,2.2,1018
2012,1,2,14,30,21.6,67,391,830,0.14,2.1,1018
2012,1,2,15,0,20.8,62,309,770,0.14,1.9000000000000001,1018
2012,1,2,15,30,20.8,53,219,685,0.14,1.9000000000000001,1018
2012,1,2,16,0,18.5,41,128,553,0.14,1.9000000000000001,1018
2012,1,2,16,30,17.7,23,45,325,0.14,1.9000000000000001,1018
2012,1,2,17,0,16.900000000000002,0,0,0,0.14,1.9000000000000001,1019
2012,1,2,17,30,16.6,0,0,0,0.14,1.9000000000000001,1019
2012,1,2,18,0,16.2,0,0,0,0.14,1.9000000000000001,1019
2012,1,2,18,30,16,0,0,0,0.14,1.8,1019
2012,1,2,19,0,15.700000000000001,0,0,0,0.14,1.7000000000000002,1020
2012,1,2,19,30,15.600000000000001,0,0,0,0.14,1.6,1020
2012,1,2,20,0,15.5,0,0,0,0.14,1.5,1020
2012,1,2,20,30,15.4,0,0,0,0.14,1.5,1020
2012,1,2,21,0,15.4,0,0,0,0.14,1.4000000000000001,1020
2012,1,2,21,30,15.5,0,0,0,0.14,1.4000000000000001,1020
